ReviewerName,ReviewTitle,Reviews,Rating
steven pagan,Not user friendly,"First off, delivery was quick and the driver was friendly and that is about all I can say that I enjoyed of this so far.  The Firestick doesn't seem to want me to stream movies in full screen.  I have a QLED TV and now I lost part of my screen with the firestick.  Previews will be full screen but once you hit play, not full screen anymore.  Don't have this problem with a Roku which is what I was replacing to get an upgrade I thought.  Can't log into AMC+ with your existing account, it will make you setup a new account and pay double the money.  I already paid for a year and will use my existing one.  Amazon seems to be acting like Apple and want to control the apps and where you spend the money.  My next move is to return this and get the latest Roku 4k stick.  I have tried all the online fixes that were suggested and problems have persisted.",1
John G,Wouldn’t buy if I’d known.,"This has the potential to have 5 stars with no problem.  It’s easy to connect, the operating system is fantastic. It literally has everything.  Except streaming.  It lags and skips constantly.  I figured I downloaded too many apps.  So, I uninstall everything but the mains. Netflix, Disney+, Amazon prime, HBO max…. I also clear the cache on everything and restart before I watch the fire stick.  Nothing changes.  Lags and skips constantly.  It ruins everything I try to watch.  It’s not worth it. I wouldn’t buy it.  Terrible streaming.  It’s like every few seconds the picture is in slow motion and skips around.  TERRIBLE!!!!!  Total waste of money.  This thing doesn’t have enough memory to actually operate.Update: I’mpurchasing the Fire tv 4K MAX. It’s supposed have better RAM and internals.  We will see.",1
Merrill,What an Absolute POS,"The Amazon Firestick 4K is....in a word....CRAP. In essence, You have to pay through the nose if you want to watch anything decent.The ""Live"" news is not new and isn't current.Free movies: You can watch Sausage Party and any other imaginable piece of crap movie both new and movies that are 30 years old that youve never heard of before. Don't  expect to find a John Hughes movie without having to pay for it.Monday night, Sunday Football....nope! You can watch a game from 20 years ago....Maybe you'll find a free Marx Brothers movie.I'd say about 95% of the free content on Firestick, you've never heard of and if you have, it's crap.You can't watch Caddyshack for free or any other classics. If you want a decent array of recent movies, you'll have to purchase subscription for a dozen different links (whatever ghey're called) which will cost you a couple of hundred bucks a month.Keep your cable for $150.00/month (or $175./$200.) and watch basically whatever  you want all in one place.Firestick SUCKS!",1
Mark R. Wietstock,Came Out The Box Not Working,What I dislike the most the firestick that's being replaced is barely 1.5 years old. Was told by customer care they no longer support the software for the device I had to upgrade to the 4K HDR. Advised them that was a 4K HDR they claim they no longer support. Them: of well you need to upgrade to 4K Max. Spoke to supervisor same crap. Was advised not to trade in through their trade in program because I would only receive $4.00. WTH....oh but we will give you 15% off towards a new purchase. Ok I fell for it. Received the device yesterday plugged in started the install process. Once I was connected to the Wi-Fi I it started a software update. Then I received an error message stating the update failed to unplugged for a fews seconds and try again. Well this went on after 5 tries disconnecting everything piece by piece. Same thing. Called have to get a replacement. Moral to the story is why are you you no longer supporting a device you created barely 2 years ago just to force an upgrade on junk you threw together just to make a quick buck. Save your money everything is a hustle now. I'll press my luck with a Roku device. Apple and Amazon play to much. Wish me luck!,1
Darrian Turner,3rd Generation doesn't work for Apple TV app,"I have multiple Fire TV Stick devices that work just fine with the Apple TV app. However, the 3rd generation Fire TV Stick 4K is worthless if you plan on using Apple TV. Apple TV login fails verification FOREVER. When you see the screen to sign in with your account no QR code is displayed so you are required to 'Use Remote' and enter your Apple ID. But when you enter your Apple ID it always fails to verify login info. Tried every trick I could find, deleted Apple TV and reinstalled, reset Fire Stick to factory default , etc. NOTHING works!",4
Slokom,CHEAP - broke in two months.,"Bought two of these in July 2022. One device works okay- slow loading. The other stopped working properly by the end of September, after very light use. The unit doesn't turn on- needs to be unplugged/re-plugged  every time. The remote SUCKS down batteries, even when TV is off. Batteries need to be removed from the remote after every use, or they will be dead by the next day. As such, the device is unusable, but not until I was past my return date. I was hopeful this new line would work better than previous models with similar problems, but nope still cheaply made. After this I will not purchase another Amazon streaming device.",5
Gregory Wilkinson,"Brick, Brick, Brick!!!!!!","I have bought about 15 firesticks over the years and have about 5 bricks. I understand over time the old ones are gonna go bad but I bought this one 2 months ago and its already dead. I am more frustrated because it how I watch my football games at work and ITS GAMEDAY!! Very frustrated at this moment. I am not a programmer but I am at least somewhat technically inclined. Plugged into outlet not TV, checked HDMI input, tried different TVs and different outlets. It worked on that TV this morning then BLANK SCREEN. Very frustrated",3
Honeybee,So Many Problems! I Won’t Ever Buy Another One!,"I have been using a FireStick for several years now. At first they were not too bad, however recently I’ve had to keep purchasing new ones because they keep having issues with freezing up, crashing, restarting, completely shutting off, apps not working, connection issues, etc.The last one I bought we set it up and within the first 3 minutes it automatically shut off. We unplugged everything and tried again. It did the same thing. We tried it on a different TV and it continued to shut off. I looked up troubleshooting for the specific probables and followed the suggested instructions, it still did not work. I ended up returning it for a refund and will not purchase another one ever again.",1
Terry Kelly,How to Use this Stick and lack of written information given at time of purchase.,"This fire stick was designed without any consideration for the elderly population.  The size  is too small, the buttons are too close, the ability to turn TV on and off with one button (having to return to home to turn off.... this is not an improvement this is going backward.The fact that you need a separate stick for each  TV, etc.  can only use two sticks at a time without paying additional money...the channels full of reruns and movies which are old and played over and over...etc. etc. etc.  the costs of said sticks.......the cable company should pay for these sticks....The confusion of what is free and what is extra....the complex way of explaining how to use this stick...",1
Justin Gray,Still terrible.,"Brand new out the box, it acted up. Before I could even finish setting it up, the screen went black. I waited. Nothing. I had to unplug it and start all over. I got it set up & it had to do some updates. Cool.. I watched TV for maybe 5 minutes shut the TV off. Went downstairs to clean my garage and stuff. I come back upstairs to watch TV. I turn the device on & another update happens. It got stuck in one spot for 5 minutes before even budging. After the updates done, the screen goes black & freezes again. I had to unplug it once again to get it to restart and work. If I have to unplug this thing one more time, I’m sending it back and getting and Non Amazon device because I’ve NEVER had a fire stick work properly. Absolutely ridiculous.",1
Sonny G,Pain,So it’s an amazing device when it wants to work. Every time I go on to the fire stick I have to restart the entire system so I can see any episode on any platform. What do I mean by this is when let’s say I go on HBO or any other app it acts normal you go through every screen up until you play the video. Once the video starts to play the screen goes dark and their is no image just sound. At first I thought it was just one of the platforms but now I can say with out a doubt it does it on every single platform especially after I watch an episode then turn of the fire stick so when I come back to watch episode 2 later on I have to restart the entire fire stick so that I can watch episode 2 and if I do the same thing for episode 3 guess what got to restart the whole thing again. Until they fix this I wouldn’t recommend this product. I’ve tried restarting the whole fire stick many times and it still does it,1
Ann L.,HORRIBLE battery life,"The Amazon branded batteries in my fire stick were showing low just a couple days after receipt of the unit. I replaced with my own new batteries and now just a couple days later screen reports “low batteries - change ASAP”! I’m afraid to even open my second unit that I just ordered. Internet reports others are seeing battery life problems, but not this bad!Note: While I view this as a major problem, I must admit that we do love it - while it works!",1
Senior Citzen,Can’t use Hulu and they’ve known about the problem since 2015,Fire stick is absolute garbage!! It has a super small processing board forcing it to reset like 3 times a day. They say Hulu is comparable but it is a well known issue that it absolutely is not. Then they give you all this junk to try to “reset” acting like you have too much data on it (I have like 3 apps) but in reality it’s the 30 apps the fire stick won’t let you use. Look up the Amazon forums on how long the Hulu issue has been going on and it speaks for itself. I’m returning this tomorrow.,1
BreadWinner Daniel,"terrible remote, to many clicks","it takes way to many clicks to get to places. The remote is to small and needs a different shape so you can tell by feel if it in your hand the right way so you don't press buttons only to see you lost your movie. I liked the old cable way of just click the stations, the up ot down, Turn it on and there were your stations. To be honest I wish I had cable back,. Then I don't want to see things like LGBT channels in the open, you are close to running an adult service. Posting warnings will not stop teenagers from looking around. You need to have an option to remove the entire LGBT listings from the front screen.  we have considered canceling the entire Amazon Fire Stick. I know elderly people that have been forced on this because they are doing away with cable box access and they are totally lost, several have been forced to buy new TV's etc. Cable was best it just was the FCC and congress that failed to limit all the ads, the shopping channels were every where. You had a 30 min show that became an hour due to commercials. Soo Amazon will become the same.",1
Merrill,Failed in less than six months,"This is our second fire stick, since we have two televisions. It's an easy setup and there's a lot of options and features to go with the fire stick. We didn't hesitate to get a second one for our other television based on our previous experience with the first fire stick.UPDATE: The Firestick stopped working in October 2022. We purchased a warranty for this item. I was given a number to call about the Firestick not working. I must have gotten the department or company covering the warranty. They were full of excuses to not replace the Firestick. The main one was that when I called, they told me the system they use for replacements was down. They took my contact information and said they'd get back to me. THEY HAVEN'T!My recommendation is to steer clear of a Firestick since both of ours failed only months after getting them. The first was easily replaced when I chatted with an Amazon rep; the second is still not working and the people I talked with (two of them) about it just gave me excuses, lies and that Firestick is still not working.Again, think about your purchasing this item and if you get a warranty, it's just a waste of money.",1
Mark R. Wietstock,Worked great then remote died,Thought my batteries were dead in the remote.  Replaced batteries and it still does not work.  I now need to replace the remote which costs just as much as buying a whole new Fire Stick.  The design of the remote needs a lot of improvement.  Case that hold the batteries keeps sliding off when using the remote.  I checked to see if replaceable and it does not give me the option to submit a request.  Now deciding if I want to purchase another one which will fail again or go with another brand.,1
javier,Doesn't live up to expectations,"The product is of good quality overall however, there are one or two weakness/limitations that renders it worthless. 1. It does not allow mirroring of prime video to your from your phone to your TV. It only sends audio, no video at all. How can this be when I'm paying for prime and using FireTV, an amazon device, to mirror video from my paid app???2. It does not allow mirroring your phone to your TV unless you're connected to WIFI, what????Let's say your camping and you took your small TV, you'd like to watcha a Prime movie from your phone to your TV via FireTV, not possible unless you're connected to WIFI. Not every mountain comes with WIFI.BTW, all this was possible with and old version of the FireTV. How is that for providing the best products for your customers.......",1
Ken W.,Battery Issues,I have multiple Fire Sticks in my home and this is the worst one. I received a notification that the battery was extremely low and I needed to replace. I bought brand new AAA batteries replaced the ones in my remote and I keep getting the same error. I've looked for different suggestions on how to fix this none have worked. This is apparently a known issue. I'm replacing it with a Roku,4
Sal,"Used to be good. After ""updates"" no longer compatible if you have Verizon","My original Firestick was flawless. Then recently, it kept updating and finessing storage and every update made it work slower and slower until it basically barely works at all. Using it to watch Netflix it's great. But I can no longer connect to HBO Max and it actually buffers in the middle of programs and I have 320 Mps download speed. They talked me into buying the new 4K super-duper model of Firestick, and the problem is exactly the same. Spent hours talking to Amazon ""technical assistance"" people, most of whom either are incapable of understanding the answers you give to the questions they ask, and really, they don't ""know"" anything. They're just robotically reading from a script on a monitor. Giant waste of time. Sending my stick back. They can keep it. BTW - Amazon only gives a 90 guarantee on this device, a good indication of how much faith they have in it.",5
Vern,Bad Remotes,"We have figured out that we have to change the batteries every few days if we leave the batteries in the remote. We can go a week without having to change them if we remember to take the batteries out. When not using the television the batteries last longer, of course. Outside of remote. In all my many years I never had to change batteries in a remote, but every few years. The firestick seems okay. So far. It's the remotes that are bad. We wonder if the remote stays on through the alexa capability, thus draining batteries.????",3
gkhelland,Disappointed to say the least,"So we had a Fire Stick for over four years now. Last fall it started to lag, then Paramount Plus wouldn't always load, and it increasingly became a chore to use. So after calling tech support and getting nowhere, (I tried everything with the guy finally saying that he had no record of a Fire Stick associated with my account). We purchased a 4K Fire Stick. which was even worse than our first! It kept wanting to update, then kept throwing error codes, and finally just looped in a neverending restart mode. I took my old Roku, and tried everything on it; much to our surprise no reboots, updates, lags, or Apps that don't open. One week on and my whole household wants nothing to do with the Fire Stick. So Thanks Fire Stick, you just made us Roku Fans!",1
Fred B,"Prime Video judders on this stick, as does DirectTV Stream","The Prime Video app judders on this device (and 2 older Firesticks), and I've tried all the suggested settings to fix this including frequency and resolution, and the ""Match Original Frame Rate"" setting. I don't have the problem on the Prime Video app that runs natively on the same TV (LG). Network speed is wired (~90 MBps). We switched to a Roku 4k stick and have had no problems, and it's faster.",1
Ben,What a pile of Crap!,"Bought this about 10 months ago.... and nearly EVERYDAY it locks up and I wind up watching a spinning dial and NOT television!!!  Would NEVER purchase again... and total pile of crap. I've resigned myself to having to reboot (unplug and plug back in) this piece of junk to get it to work correctly.... for a while...and then back to a spinning dial.  And, NO, it is NOT my internet connection... I have a 500mb download internet speed, so that is not the problem...the problem is this Amazon pile of junk!!!  Purchase something else that actually works.,!!!",1
Megan Haynes,Garbage,"I’ve had many fire sticks and used them for years. They work okay, but generally have a lot of glitches and need to be restarted frequently due to freezing or because the audio and visual get unsynced. They also only last a couple of years and then stop working. Usually tell you it can’t connect to the network. I started buy Rokus about 5 years ago. I have two that are 5 years old and still work perfectly. Now whenever a firestick dies I replace it with a roku, they’re much more reliable and last longer. Shame that Amazon can’t keep up.",1
Keshav Das,AMAZON customer service on the Fire TV really sucks,"This fire Stick gets stuck in the first step in updating the software, the updating never ends, it just hangover there. I tried to reset it, ended up the same way, the software update never end hang at about 80% I followed customer service instructions holding the HOME and Back button for 20 seconds, factory reset, doesn't work.I rarely run into quality issues like this, this shouldn't have passed the quality check in the first place, what bothered me was for a $29 fire stick, when I run into trouble, and tested it over and over again, Amazon customer service in South Africa office (I do not know how I ended up in South Africa office) the customer service keep letting me jump the same hoop even though I have told her I've tried many times to factory reset it, it did not work, She did not seem to understand that the fire stick only cost me $29, but time dealing with her jumping through these hoops I knew for sure would fail would cost me a lot more than $29, because I have tried several times,  she still insist doing so, when I complained about the time wasted, she started to do the passive aggression.... I would say this was very rare, I am happy in dealing with most of Amazon customer service. but a bad one is really enough of bad taste in the mouth.",1
William F. McNamee,Don’t buy this POS!!!,"I purchased the fire tv stick to cut the cord from cable, I am severely disappointed in this product, I wasted multiple hours trying to pair the included remote (see pic), without success rendering the product useless.followed the details of amazons tutorial as well as multiple other you tube videos on the topic. So many videos that they know this is crapola.  Don’t waste your money, buy another brand and save yourself the massive headache that I have!!!",1
Merrill,Trash,Absolutely ridiculous! I had firestick as for about five years! Whenever they did this update they started going to the home sceeen while I was using them had done this over and over. I called customer service they told me I had the old Firestick and I needed to buy new ones to stop this from happening. Guess what I did and guess what it still happens Amazon customer service sucks as well no help with anything they need a serious change in systems! Nobody buy this crap product!,1
