ReviewerName,ReviewTitle,Reviews,Rating
Melinda Koutz,Best version of this brand so far!!!,Installation was smooth. Had to replace my very first Fire stick after 7+yrs of use. Have one in every room. This version is by far the best. It offered to install all the apps I had on the previous Fstick. Can only highly recommend to buy it. Would make a perfect stocking stuffer at this price.,5
W. Lae,Easy set up,"Very easy to use, you hook it to your smart TV, the aps populate, and you log into the ones that are not free. Very easy, simple set up instructions, did it in about 5 minutes. Totally guided set up. You can do it! Just remember you have to pay for any of the aps that are not free. You do have to pay for prime video, peacock, some stuff is free if you have amazon prime but lots of it you have to pay for unless you upgrade your prime service.",5
Merrill,"So simple, Grandma can change programs with spoken words","WE ARE VERY PLEASED with the upgrades since the earlier version. This Fire TV Stick 4K can be setup in two minutes. If your TV has an open HDMI port and nearby USB port, you don't even need an electrical outlet. Plug it into your TV, then follow the instructions on the screen. The most complicated step is to switch the HDMI from cable TV to the HDMI with the Fire TV stick attached. We are impressed and will continue to upgrade as you bring out new versions.",4
Mark R. Wietstock,Perfect!!!!! But……………,"My fire stick was the perfect choice to going to pure ‘streaming’ method.  User friendly. In search engine, search recognition, full menu of equal user friendly access to a choice of other streaming apps while still providing regular television scheduled shows. While i was super pumped about the sleek, compact design of the remote in comparison to that of the bulky, brick style of the first cell phones to its now counter part, the iphone. BUT……. That thing constantly alludes me. I look for it more than i use it.",4
DeeDeeSan,REMOTE ISSUES,"I Loved this product, ease of use was wonderful. Until my remote stopped working. Most remotesstop working in the area of turn on/off and volume, mine is everything else, but those 2 .I have gone to Roku support several times, and even got someone to call me back last Thursday. After40 minutes of trying things, it was determined that the remote had to be replaced, but due to asystem issue, she could not do it right then. She would call me on Friday and place the order.I have recieved nothing and can't find the location to get a phone callback. I got another remoteout of my pocket (to watch the world series!!) and guess how you program the new remote....With theold one!Will never buy another Roku (this was my 4th one) strickly due to the NO support.",5
Deborah Davis,Great for the Road warrior,"I take it with me on business trips and plug it into  Hotel’s HDMI plug on LED TV’s.  One feature that would be better is battery power as sometimes TV’s do not have the additional USB outlet for power. Resolution is great. Controls easy to use. Plenty of Apps.@Amazon, probably a good idea to talk to Hotels and Airlines for easy plugins for screens for the Road Warriors among us and Make a battery powered version.",3
Dave S,Remote stops working.  Two died this way.  Cheap product,"There is a bug that bricks the remote in the latest version.  Dies mid use and never works again.Do NOT buy!Batteries, reset, and remote factory reset nothing works.They pushed a bad update and probably are seeing an increase in sales.Don't buy.  Class action law suit!",5
Jenny,Staying connected,I would’ve liked it if we would’ve had a better instruction booklet describing how to record and how to race retrieve stuff you recorded because the one that came with it does not help at all not me anyway and then I mean I like the guy I love being able to see what’s coming on like the picture quality but every once a while it’s like it freezes and then when you go to Ford through it the ninth of things start moving again it’s like it really skips or sometimes you’re sitting here and as I could all of a sudden it’s loses connection you got the picture and you got that thing sent their twirling in the center and then I’ll send it to connect again but yet I have Internet on everything else,5
Christine Copley,Each generation gets a little better,"This is a mature technology at this point.  Quick, responsive, without profound lags.  I've recently decided to give up being nervous about privacy and embrace Alexa, and on this device it works quite well: hears me clearly, and translates my spoken words to accurate searching.If you have an older Fire Stick, I suggest an upgrade.  If you don't, give it a try at these low prices.",5
J-Man,Super Easy,"I now have 5 of these and love how easy they are to install, setup, and the Alexa works great too.  We recently cut the cord from cable and so far it has been working great.  The Wi-Fi reception range seems pretty decent too, we bought a projector and watch movies in the back yard.  So far no connectivity issues.  👍🏻👍🏻",4
Dan Oldenkamp,"The Amazon Fire TV Stick 4K balances functionality, price and performance","As 4K HDR devices go, the Fire TV Stick impresses with its balance of functionality, price and performance, which make it a popular purchase when it goes on sale. Even though it's not the most comprehensive device on the market, (or the cheapest, or the most powerful), those used to some of the standard frustrations with Amazon products can get a rock-solid streaming player at a relatively affordable price.ProsExcellent 4K HDR quality, fast navigation, lots of great apps, an upgraded remote that's better than the non-4K remote.ConsAmazon-heavy interface, requires a really inconvenient power adapter.",4
Jamiprater,Enchance your 4-8K TV,Can't say enough about this product. I was skeptical at first always having a mini PC connected to my TV for streaming my HTPC. The Amazon Fire Stick 4K was seamless in integration. My Samsung TV picked up the Fire Stick after installing and then proceeded to tie in the Home Theater Receiver so I only have one remote.  It also upscaled the TV resolution to the 4k it should be. My cable company doesn't give me that resolution!  The sound and picture are what they should be now.  I bought three more for my other televisions.,5
Conrad.TDI,Superior Product,"This Amazon Fire Stick is simply amazing.  It turns a Flat Screen Television almost to a Fire Television smart device.  Really it has Alexa which is always brilliant and will help you browse through the menus. Setting up is a breeze.  Just plug the Amazon Fire Stick into the HDM1 port and you are on your way.  It hooks up through the internet, so you will need that.  It has movies through Amazon Prime Videos, so plan on spending about a little bit of money on that. Some videos you will have to rent or buy for such a small fee.  Other Videos (and there are a lot of them) are free as long as you are a member of Amazon Prime Video.  Freeve and Pluto networks you can access through the Amazon Fire Stick and they are splendid networks and they free.  They have a lot of great shows and movies to offer, as well as CNN news.  The remote is superior which has a button you can press to talk with Alexa and she will help you navigate through the menus to access Amazon Prime, Freeve and Pluto networks.  I do not know if all the Amazon Fire Sticks have Alexa or not on the remote so make sure you get the correct one with Alexa.  There are other content you can access through the Amazon Fire Stick with Alex's help.  Netflix and Hulu are a couple from others that are too numerous to mention here.  Also, you have to open a free Amazon account.",5
D. Long,You don't have to be in the 'Alexa EcoSystem' to make the most of this!,I picked up the revised firestick after trading in my original stick which had grown somewhat dated. The new revision offers an overhauled remote (onboard audio and power control for compatible TV's + soundbars). The streaming consistency and quality is great even on my fairly poor connection and the device offers a great array of streaming services onboard that don't restrict you to any proprietary platforms. This replaced an original generation Apple TV in my home as I am predominately on the HomeKit ecosystem and I found that all my third party accessories were either compatible with Alexa integration as well and the experience was still fluid casting between my appleOS devices and the firestick. Would definitely recommend as a cost effective alternative to other leading streaming devices. My only caveat is that using the firestick includes a TV set up process that was not able to properly set up IR controls with cheaper TV's and projectors I had tested it on.,5
Merrill,Lo debí haber comprado antes,"Hasta el momento me encanta el dispositivo, toda mis familia y conocidos han usado el Roku como primera opción, opte por el Amazon Fire TV Stick 4K y estoy encantado, me gusta su interfaz es atractiva y me gusto el orden que tiene.La resolución de películas y series es excepcional, nada que envidiar de los Roku y su integración con Alexa me encanta, no es común que ocupe los comandos de voz pero es súper funcional!!! Y sobre todo el extensor que trae por defecto fue lo que me salvo, de no ser el, mi TV no hubiese permitido insertar el dispositivo directamente!!Esto es un 10 de 10!!! Recomendado",5
Mark R. Wietstock,It's made my smart TV even smarter.,"We live in an area with limited internet options and because of data caps we have never been able to do much streaming.  Recently we were able to upgrade to a service with unlimited data so we can now use more streaming services. Our TV is an older Insignia model.  It's ""smart"" but apparently not quite smart enough because it picks up Netflix and Amazon Prime but would not get Disney Plus or Apple plus.  So I took a chance on the Fire Stick.  It works like a charm.  I plugged it into an HDMI port on the back of the tv, connected it to power, and fired it up.  Using the input button on the tv remote the tv found the fire stick without issue and I was easily able to connect Disney Plus and Apple Plus.  It also connected to Alexa without any problems and we can control some functions with either our Echo Show or directly through the remote which has an Alexa button.  The sound and picture quality is very good.  There are only a couple of minor issues that are certainly no big deal.  The fire stick itself would not plug directly into the HDMI port because the adjacent ports both have things plugged into them and the stick would not fit.  So I had to use the little HDMI extension cable which was included apparently because of this very issue.  It works perfectly but it does stick out a little and so the stick is visible from behind the tv which is no big deal at all for us.  Also, we have Dish.  So now, to successfully run the tv, we need three remotes.  The Dish remote, the tv remote, and the Fire Stick remote.  Again, this is simple and not a big deal.  Overall we are extremely pleased with the Fire Stick.",5
Linda M,Works fine.  Same as  my other Fire Sticks,"I only bought the 4K Fire Stick because my LG 65C1 OLED TV does not support the NBA League Pass app.  I could say that this is an indictment of my LG  TV's smaller subset of available apps, as much as praise for the fire stick.I use this fire stick along with the Amazon ethernet adapter for it. It works fine, as advertised, although I only use it for a very limited application.  I do not use voice commands so I cannot evaluate them.My only complaint with all of the fire sticks is they are not backlit.  I like to watch TV at night with the lights out, so if I need to issue streaming changes, I have to turn a light in the room on to see what I am doing.",4
Edward J. Indovina,That sometimes it works and sometimes it don't!,"My emotions are very mixed about this device when I first used it.it was perfectly fine, now I notice that it's taking a lot longer to get a movie going and I noticed that the little logo that swirls around and  round on your TV screen has been swirling for 10 minutes now! and nothings happening so I'm kind of confused about this product it seems like my old fire stick which only veiws  in HD works better.At first I thought it was my Internet service not being able to handle 4K HD  UHD but I called my Internet service and they told me I have the fastest Internet available known to mankind so now I'm even more confused? The aliens were right I think we are depending too much on electronics and I think it is going to be the end of mankind. Because when my streaming service doesn't work like it's supposed to it feels like it's the end of the world! when I was a kid the end of the world was not being able to see Star Wars for the 200 time now it seems like the end of the world is not being able to stream Star Wars in 4K for the first time!GOD WHATS THIS WORLD COMING TOO?",5
John,Faster than connecting directly through the Smart TV,"Hulu was no longer supported on my Smart TV so I bought a Firestick. Now, I run all my apps through the Firestick because it connects much faster than going directly through the TV. I don't use Alexa or voice features, so I just gave it 3 stars.",3
3zz,Really impressive for $25,"I know this Fire TV Stick has been out since 2018, but it's still a relevant performer.  I'm using it on a 32"" 1080p TV and it looks great.  Menu navigation is is quick and responsive.  I have no idea how/if Amazon is making any profit at $25 per unit.",4
Kevin Martinez,Good purchase,I updated my older version of a Fire stick. I like that it can be voice activated and with the push of a button can open a number of streaming services- all features my older stick lacked.Works great with the 6 streaming services we use.,5
Ron Moseman,So much better,"Replace my old firestick (which I didn't think had a problem, but it was suggested it would make a big difference)  Well, it made a huge difference.  Quicker response, I think a better image and I am very happy with it!",5
Mike,Love our new firestick!,This is awesome! We had an apple tv and switched to the firestick. It is so much cheaper. The quality seems great. Really nice picture and is fast. I was a die hard apple tv user but this has me changing my mind.,5
MOREGONE,Totally worth the upgrade better connectivity volume on remote etc,"Totally worth the upgrade the connectivity is better, volume and buttons for main apps on remote saves a lot of time. The fire stick allows me to save a considerable amount of money as an alternative to outrageous expensive cable bills!",5
Sunnie,Works Good,Was very easy to set up. Linked to my amazon account without an issue and reinstalled all the apps I use. Able to adjust volume on TV & turn on/off. So nice to have 1 remote instead of 2 now.,5
Drew,100% better than the Roku Ultra I have.,The Fire TV stick 4K is much better than the Roku Ultra that I have been using. I like it so much that I bought a second one for another TV in the bedroom. No trouble with losing audio or picture freezing up like with the Roku.,5
Merrill,100% recomendado para TV viejas,Excelente producto. Pude darle una segunda vida a una TV antigua. Fue un regalo para mi familia y les encanto. La calidad de audio y video son muy buenas. Me encantan las aplicaciones de pluto TV y VIX se sienten como tener cable pero gratis. Volvería a comprar el producto. Si tienes una TV o un monitor viejo te funcionará para darle una segunda vida.Nice product. It s a second chance for old devices.,5
Mark R. Wietstock,Happy.  Used to access Xfinity Stream after they stopped supporting on LG Smart TV,Bought an LG smart TV that supported the Xfinity Stream App which was then discontinued shortly after.  ANNOYING but that's Comcast.  Got the fire stick since we do not have a cable line to this TV and can't get one.  So far we're very happy.  Actually gave us more functionality!  It recognized our small sound-bar so we don't have to use two remotes anymore.  Bonus we weren't expecting.  Don't really use the alexa functionality because it's easier to just speak to the actual echo.  Can't seem to find a need to use via the TV.  It doesn't work within the Xfinity app that we can figure (but maybe we're missing something).  Just wish we didn't have to take up a plug for it but not the end of the world.,5
Kathleen S,Fire tv,I already have one just needed another for livingroom... grandkids don't want to be in bedroom all the time and I need to stay out of the bed. This works great..cheaper than paying for satellite or cable. Just have to worry about internet bill.,5
Barbara B.,Excellent service,"This review is about customer service ,I received the firestick and it said I needed my password to amazon and I also wasn't sure I could set the product  up ,so I called c.s ,I asked them to call me back day later to help with install ,well the lady called back almost 10 minutes of when I asked ,I was able to do all myself before she called ,but kudos to the c.s. agent for her excellent follow through ,amazon and staff are the greatest",4
C Jackson,Helps extend the life of you Smart TV!,"The apps on our smart tv are glitchy. Instead of buying a new TV, I got the fireTV on sale and works great. I love the voice recognition for searching for movies. Paired easily with my TV.",5
Me Lissa,This remote does it all!!,"We finally cut the cord from cable.  Very happy with this fire stick.Will probably replace the “older” Roku we are using in the Great Room. Tired of having to deal with the 2 remotes. The TV remote to turn on/off and control the sound AND the ROKU remote to change channels! Just FYI, we are happy with YouTubeTV too.",3
Emma,"Awesome device for streaming, exceeded expectations","My Vizio TV had a really crappy remote that wasn’t even working anymore. I bought this in hopes that it could make my TV work again and it did! Just by connecting the Fire stick, I can use the fire tv remote to turn on my TV and use all the features (including volume). It’s also really convenient to take with you when traveling since it’s so small. I think it’s better than a Roku.The features also exceeded my expectations. It has all apps I could think of: Spotify, YouTube, all major streaming apps, an internet browser, games made by Amazon, Twitch, TikTok, and more. The voice recognition also works pretty well and reduces how much typing you have to do.",5
Boston T,Nice,"Got this to replace my original Firestick. I was a little upset that the last one started acting up, but they are not expensive and the quality of streaming on this one is so much better",5
Aury López,Hot or miss with Dolby atmos,The reason for my rating is because this device doesn’t work with Dolby atmos for majority of applications. I can only seem to get atmos to work on Apple TV app all the other apps it’s just Dolby digital plus. Pretty disappointed.,5
Kindle Customer,New development with best quality of streaming,"I love to stream the movie, YouTube etc. the new 4K max is a real piece of best streaming product with more bigger storage and the convenience of the remote that can do more than it used to be.Such as pair with your tv volume and few one touch to your favorite streaming media.  Awesome product and reliables",5
Shsaam,Watch anything,"I bought this for my daughter & her husband, they watched a YouTube video to unlock it, & they’ve been watching anything & everything they can. It’s really good & if you don’t have 1, I suggest to definitely get one!",5
Bernie1948,Turns our Dumb TV into a Smart TV,"We purchased this so we could access TIVO (used by our cable company) and streaming apps on one of our TVs without purchasing/renting an additional cable TV box. It works as it is supposed to. Some of our problems may be learning curve but if the face of the remote were more clear as to what the buttons were for rather than relying on memory, it would be helpful. Also, the on/off button needs to be the largest button. When you're watching in the darkened bedroom, it is hard to see/find the right button.",5
Merrill,Upgrade was Worth It,"I've had many version of the Fire Stick going back to the original. Seems I get a couple of years out of them then they have connectivity issues. Noticed when we upgraded to a 4K TV the older version was sluggish. Once we installed this one all our problems went away. As a cord cutter, I really appreciate how ecomonical Prime and the Fire Sticks are. One year of prime is same as I paid for 1.5 months of DirectTV. If looking to upgrade from an older version, I can say yes it's worth it.",5
Mark R. Wietstock,Worth the upgrade,Worth the upgrade I keep this with me for travel so that I can always have my own channels available. This has been the easiest fire stick so far. Worth the upgrade to get the voice control and the picture quality is excellent. It comes with an extender for the HDMI to television hook up which is great.,5
Mariana Cadiz,So much better than my old Blu-ray for streaming!  Why did I wait?!,"Why did I wait?  For the half off sale!  This little gadget is super easy to set up and use.  I like that I’m now just using the one small remote.  Lots of streaming choices, more than on my old Blu-ray.  I’m not using the voice/Alexa option now, but it’s nice to know it’s available.  Good product.  Fast delivery.  Happy camper.",5
Nan,My go to device,"This does exactly what I need it to do as I try to cut the cord.  I have a few of these devices and I am extremely satisfied.  I had a Google cast first but has since replaced it.  It does not work as well for me, so I will stick with this device.",5
Dev E.,Firesticks are THE BEST devices.. better than Roku hands down,"As a home theater installer, I have gotten very familiar with several different streaming devices. After getting multiple defective Rokus, I went with a Firestick 4k. I'm never using anything else (except perhaps a Max) from here on. I have 3 in the house and with 100Mbps wifi, they all work fluidly simultaneously. SO much faster than any competitor when selecting apps and 4k programming. Roku simply can't compete.",4
Amazon Customer,Reboot,Have had to  reboot several times. Unplug plug back in. In saying that it's not the stick but local internet service. Had had to upgrade yet but is a possibility in the future.,5
michael,Upgrade today,"We had been waiting to upgrade because I didn't want to have to reformat the stick with the apps and passwords. Our old stick just didn't have enough memory left and it would lag in opening apps. The new one is such an upgrade. It loads without delay. The quick buttons are nice. It formated itself with the apps we already had. We did have to link them using a code and re-enter user names and passwords. Even though that was annoying, it is worth the time in having the processing speed and functionality.",3
Amazon Customer,EXCELLENT STREAMING DEVICE,"I USED TO USE THE REGULAR FIRE STICK BUT.....now i use only the 4k its really a diferent story, is super fast and you can play 4k content.i really recommend this little device",5
CB,Upgraded when old one failed,"Had to upgrade.  Our old one burned out (it was about 3 years old).  One plus on this model is that we can use the volume control.  We have a sound bar and had to use a separate remote (so we had three remotes, which was a pain).  Now we have two, one for the streaming and one for the local channels.",5
D. Waller,Works well on older Vizio TV to get Amazon Prime Video.,"I was using an older Sony Blu-Ray DVD player for Netflix on our pre-smart Vizio LCD HDTV, but firmware/software would not support/update to Amazon Prime Video app.  Fire Stick installation, setup and registration went smoothly.  Have not set up voice recognition (yet) nor Alexa, so no rating.  Just using standard 1080P high-definition and works well over 50MB internet connection.  Nice thing about using the Firestick is getting Thursday Night Football over Prime...for some reason my ""newer"" Vizio TV's Prime Video software won't support this programming - maybe need a firmware update....  App menu systems/navigation are different between hardware types - Firestick is easier to navigate.",5
Kiki,Great product!,Works exactly as expected. My aunt lost the remote to her large tv and it’s a bit older and isn’t a smart tv. This device helped retro fit her outdated tv into a high quality smart tv. We’re very happy with the purchase. She even shut off her cable subscription to use the streaming services and saved about $50 a month.,5
M G Miller,The Amazon Firestick is awesome!,I really enjoy the Amazon firestick. My Uncle Leroy has it now on his television and it is so easy to use. The variety of television shows and movies available are incredible!,5
Merrill,Incredible features,This is the second 4K Fire Stick I've purchased and I can now stream a wide selection of movies and tv programs. The integration with Alexa was effortless and the picture quality on my Samsung 4K and UHD sets are amazing. I am considering dumping Sling since the Fire Sticks offer so much more and include local channels.,5
Mark R. Wietstock,"Great, new product for me",I got this as a replacement for one that I purchased elsewhere that stopped working and since it was an Amazon product they were really great about sending me a new one.,5
Bonnie,My 4k firestick,"Since my dog Tyler seems to have an affinity to fire stick remotes, I’ve had 4 now, I finally grabbed 4k and it is really really great. I’ve solved the problem with Tyler… I place the remote in a dark place on to of the tv. For now, all is good!!! Thank you Amazon Prime. 😆",4
Carl,Easy Installation,What I liked the most was how easy it was to install this on my tv.  My tv is already hanging on the wall and I didn't have the physical strength to take it down.  It was so simple to add this to the back of my television (I hate cords).,5
The Burke Family,A Must Have make to your tv and smart tv,"Really happy with this device, internet is fast and really easy to set up, if you have prime and like to stream movies this is the one to buy",5
DPSQ,Made in China,"Flaw #1 you can only connect one set of headphones or one audio source via bluetooth. However, you can connect your bluetooth headset and bluetooth keyboard simultaneously. A keyboard will come in handy if you have to type in searches or passwords or profile stuff. Oh, and guess what? You won't find anything in the directions about anything related to bluetooth or even on the box. But if you fiddle with the onscreen setting you will run across it.Flaw#2: The directions suckIf your remote doesn't pair with your TV correctly at first just remove your TV and redo the pairing.You can download and install APPS so you can watch movies and TV and you can uninstall them as well. So, if you're not familiar with this, you can download HBO max or Showtime Max and sign up for a monthly subscription without having a cable TV service. There are many free TV apps etc but you will have to deal with ads. ROKU has free TV and movies but you will have to watch a few ads maybe twice during a 45 minute episode of your fav TV show. If you have Amazon prime you may be ad free. I don't know. I don't want to pay for anything or watch ads but I'm dealing with it for now.Flaw#3: The firestick remembers I have headphones paired but when I turn on the device I have to physically go into settings and connect them but sometimes I don't and it will connect them automatically when I turn the headphones on. If I forget to connect my headphones at startup and I go into an APP and start watching a show. I have to go back to the home screen and go into setting and connect my headphones. Then I have to go find the app I was using and go back to my show. The stick doesn't have a recently viewed section that actually works. The problem is there are so many apps that I sometimes forget which app I went into to watch that show. You can however ask Alexa to just play the episode of whatever you were watching if you can remember what you were watching. I feel like this function of continuing watching the show you were watching could be better. You know how everybody likes to binge watch but at some point you have to turn off the TV, right? When you go back the next day there should be a section box that you can click on that shows you what show you were on last and allow you to go right to it. There is a recently viewed section that doesn't really show you what you recently viewed. I call that useless.you have to have good data speeds otherwise you'll never see 4k. I have hotspot on my phone but the data speeds in my area suck most of the time. But I'm paying too much for cell service to buy home internet that isn't much better.Just so you know, this firestick will stay connected to your wifi even when powered off and it will automatically connect when disconnected no matter what. So, when I turn on my phone hotspot the firestick will jump right on and so will my Vizio TV and so will my Laptop. I have to go in my phone and limit my devices so be forwarned.and that's all I know for now",4
Kindle Customer,Great option if you want to cut the cord,"I purchased two fire sticks to replace a satellite feed we had.  Now no more expensive monthly fees, no box rentals, no maintenance fees, just free tv. The Amazon Fire Stick comes loaded with content and you can download lots of apps for either streaming tv or movies. All in all I wish I had done this sooner.",5
Sharon padilla,Nobody told me how fantastic this is,I’m sooooo late to buying this. Got one for my grandma so she could eliminate cable ($300+) a month. Now she only has to pay for internet and she can watch all the movies and shows she wants. I’ve gotten one as well because I fell in love with it. Super happy!!!,3
Jennifer Chaparro,OMG It has a screen reader!,The Fire TV stick comes with a screen reader for people who are blind or visually impaired. It's also possible to switch audio tracks to tracks that contain audio descriptions.I'm legally blind from birth. I'm just accustomed to missing visual information when watching TV or movies. A lot of Prime video and Netflix content has audio descriptions. It was so exciting to start setting up this device and find out that I can fully use it.,5
Beth Lang-Sletten,Upgraded and Worth It!,We had an older version of the Firestick and had to upgrade recently due to the Beachbody App not working with the older one. This newer version works great. We love the features of the quick access to Netflix and Disney+. I'm going to upgrade our other ones as well.,5
Harvey,Great!,I replaced one of the original stick in the kitchen tv that stopped working. This new version is superior to all the others I own (I have 4).,5
Golfer John Boy,Great for the price,"So far everything ok. Nice for the price, made good, good fit, looks nice. I would buy it again, I'm happy with it and it did meet my expectations.",5
Merrill,Alien tech is awesome,"This is perfect for traveling and staying at hotels. Phone HotSpot will work on this device. If you want to play games, you will need a BT game controller. I love alien tech.",5
Mark R. Wietstock,No more cable,I am so happy with this fire stick. It is saving me over $142 on cable. I cut the cord and couldn’t be happier. The picture quality and sound are so much better.,5
trekker,good upgrade,"We have multiple firesticks and rokus.  All the rokus are 4K.  None of the firesticks were.  Makes no real difference on smaller tvs, but definitely see the difference in a large screen.  We bought this to replace a firestick that was probably close to 10 years old.",5
dobetk,Love the fire TV stick,"Just bought this other 4K FIre TV stick for the bedroom TV. I really like the overall look of the OS, over any pre-installed TV operating system. The Fire TV is fast, never had any issues with it. It does everything that I need to enjoy my streaming programs.",5
Fox,Firestick 4k,I had one minor obstacle while pairing. I had another Bluetooth device operating in close proximity. I had to temporarily turn the other device off while pairing was completed. I was then able to turn the other device back on with no problems. Otherwise every thing works great.,5
Deborah,Great product,Fire stick has great streaming qualities and I would really enjoy it more if we had better internet connectivity where I live. This is No fault on the fire stick. I have a Verizon box and a data plan that limits me to what I can watch.,5
Don VanEck,Great streaming!,It was easy to set up. The streaming is great I haven’t had any issues with it loading. My tv is older and not a 4k tv but works great.,5
George,really good product!,"I bought it as a gift for my parents. I think my parents like it a lot. Parents like to watch videos on YouTube, Netflix, etc., and I really recommend this product. I think this product is really suitable as a gift for parents. Strongly recommend.",4
Drew Park,Device Much Faster With More Choices Than IPTV Device,"I like the number of entertainment options available on the Amazon Fire Stick verses my standard IPTV device installed by Broadstar Internet.  There are many free services but also many paid ones I wouldn’t have access to.I also find the Fire Stick to be much faster.  Some options on my IPTV remote don’t work with the device making it uncomfortable to use.  Everything on the Fire Stick works.  I haven’t tried Voice or Alexa, so I can’t rate that.",5
A milli,I’m a fan,"I am a Firestick fan. When they first came out, I brought them from the first edition all the way up until now and continue to use them because I am a fan so my review may be a little biased but I love these things.",3
